"$r [deg]","Time [us]","InducedVoltage(int) [mV]"
0,0,-209.544
0,12.5,-140.965353414112
0,25,-72.3864158707392
0,37.5,-28.1280745445709
0,50,1.22487087012017
0,62.5,21.2203143182976
0,75,35.1107388029981
0,87.5,44.7917851129428
0,100,51.3629742743061
0,112.5,55.4629863194078
0,125,57.4701996152584
0,137.5,57.6225088414299
0,150,56.0886099850083
0,162.5,53.0099509735235
0,175,48.5248171686157
0,187.5,42.7814180500153
0,200,35.9441102077568
0,212.5,28.1952627269529
0,225,19.734311239288
0,237.5,10.774973428565
0,250,1.54126416821691
0,262.5,-7.73725119291672
0,275,-16.8306467465835
0,287.5,-25.5140171957192
0,300,-33.5728442628215
0,312.5,-40.8081763446198
0,325,-47.0414619724385
0,337.5,-52.1189073520815
0,350,-55.9152379134385
0,362.5,-58.3367663728636
0,375,-59.3236895809584
0,387.5,-58.8515536193903
0,400,-56.9318509699463
0,412.5,-53.6117338592134
0,425,-48.9728506645499
0,437.5,-43.1293333281072
0,450,-36.2249854574537
0,462.5,-28.429740007288
0,475,-19.9354740280061
0,487.5,-10.9512829992365
0,500,-1.69833158443976
0.15,0,-216.331
0.15,12.5,-146.977707041967
0.15,25,-77.6241992022737
0.15,37.5,-32.5986163415179
0.15,50,-2.48066583825125
0.15,62.5,18.2818728925534
0.15,75,32.9427286127845
0.15,87.5,43.395000865007
0.15,100,50.7320965452265
0.15,112.5,55.5836642622727
0.15,125,58.3169534661733
0.15,137.5,59.1574652190579
0.15,150,58.2610114235373
0.15,162.5,55.7563540781879
0.15,175,51.7698841557214
0.15,187.5,46.4392107478716
0.15,200,39.9197962365586
0.15,212.5,32.3871514943071
0.15,225,24.0361369659303
0.15,237.5,15.0783476747276
0.15,250,5.73822134624026
0.15,262.5,-3.75168889834263
0.15,275,-13.1559570837068
0.15,287.5,-22.2417839399176
0.15,300,-30.784546798468
0.15,312.5,-38.5732179903221
0.15,325,-45.415489881819
0.15,337.5,-51.1424644075859
0.15,350,-55.6127832287483
0.15,362.5,-58.716088178738
0.15,375,-60.3757258966907
0.15,387.5,-60.55062555181
0.15,400,-59.2363035515003
0.15,412.5,-56.4649688736737
0.15,425,-52.3047260670917
0.15,437.5,-46.8578952546806
0.15,450,-40.2584904882212
0.15,462.5,-32.6689172641894
0.15,475,-24.2759730364127
0.15,487.5,-15.2862448706117
0.15,500,-5.92102272690095
0.3,0,-239.185
0.3,12.5,-167.582047317159
0.3,25,-95.9794872200312
0.3,37.5,-48.5875999233269
0.3,50,-16.0572575064184
0.3,62.5,7.15857900182333
0.3,75,24.3212815547626
0.3,87.5,37.3236126262196
0.3,100,47.2447388305529
0.3,112.5,54.6866359156472
0.3,125,59.9783070768683
0.3,137.5,63.2998921953965
0.3,150,64.7580503643519
0.3,162.5,64.4315346586062
0.3,175,62.398369644207
0.3,187.5,58.7515256916253
0.3,200,53.6072680182059
0.3,212.5,47.1087302240661
0.3,225,39.4262871769318
0.3,237.5,30.7557228186499
0.3,250,21.3148441518895
0.3,262.5,11.3389915611438
0.3,275,1.07577712741961
0.3,287.5,-9.22068545938445
0.3,300,-19.2958360361167
0.3,312.5,-28.9008112881301
0.3,325,-37.7984931714406
0.3,337.5,-45.7692978388378
0.3,350,-52.6165497788798
0.3,362.5,-58.1713030983214
0.3,375,-62.29648688326
0.3,387.5,-64.890270293492
0.3,400,-65.8885622792565
0.3,412.5,-65.2665844793813
0.3,425,-63.03947705753
0.3,437.5,-59.2619227155112
0.3,450,-54.026797382764
0.3,462.5,-47.4628813242716
0.3,475,-39.7316862520272
0.3,487.5,-31.0234769296167
0.3,500,-21.5525848347548
0.45,0,-220.253
0.45,12.5,-156.551314920519
0.45,25,-92.8492739281774
0.45,37.5,-50.3935218851819
0.45,50,-20.9430373236775
0.45,62.5,0.395773759019556
0.45,75,16.4972412979275
0.45,87.5,29.0222877464319
0.45,100,38.9078039548668
0.45,112.5,46.6643584443871
0.45,125,52.5576791256867
0.45,137.5,56.7195035471561
0.45,150,59.215350937403
0.45,162.5,60.0858701589141
0.45,175,59.3718296950232
0.45,187.5,57.1288361513494
0.45,200,53.4354792364299
0.45,212.5,48.3971548026705
0.45,225,42.1469535697527
0.45,237.5,34.8444970188345
0.45,250,26.6732856219886
0.45,262.5,17.8369582588589
0.45,275,8.5547501978151
0.45,287.5,-0.943616599302169
0.45,300,-10.423413427856
