"$r [deg]","Time [ms]","InducedVoltage(int) [mV]"
0,0,-53.623
0,0.0625,-27.9293950690749
0,0.125,-2.23580338041946
0,0.1875,0.948709539710828
0,0.25,1.97809342566526
0,0.3125,2.73517921832629
0,0.375,3.38763820212157
0,0.4375,3.94237065609474
0,0.5,4.39134412124634
0,0.5625,4.72624465585964
0,0.625,4.94053391345714
0,0.6875,5.03007348240751
0,0.75,4.99344108755942
0,0.8125,4.8320895850585
0,0.875,4.55038777888885
0,0.9375,4.1555617813463
0,1,3.65754911699569
0,1.0625,3.06877547620484
0,1.125,2.40386337685511
0,1.1875,1.67928226399241
0,1.25,0.912950136536601
0,1.3125,0.123797472655795
0,1.375,-0.668695198841447
0,1.4375,-1.44497422411333
0,1.5,-2.18589230971013
0,1.5625,-2.87317842959222
0,1.625,-3.48988661064091
0,1.6875,-4.02081227527547
0,1.75,-4.45286597568856
0,1.8125,-4.77539515639987
0,1.875,-4.98044603300106
0,1.9375,-5.06295911834136
0,2,-5.02089353524207
0,2.0625,-4.85527706016463
0,2.125,-4.57018064117784
0,2.1875,-4.172618018535
0,2.25,-3.67237290879586
0,2.3125,-3.08175799993382
0,2.375,-2.4153116953423
0,2.4375,-1.68944006932992
0,2.5,-0.922012820517292
0.3,0,-53.5787
0.3,0.0625,-27.5091145554764
0.3,0.125,-1.43951867835474
0.3,0.1875,1.7547379096787
0.3,0.25,2.73321592342453
0.3,0.3125,3.41828895432653
0.3,0.375,3.98365656450621
0.3,0.4375,4.43818119914702
0.3,0.5,4.77570142781703
0.3,0.5625,4.99018443767134
0.3,0.625,5.07775790526013
0.3,0.6875,5.03722656376432
0.3,0.75,4.87027414630021
0.3,0.8125,4.58151553625356
0.3,0.875,4.17843957791591
0.3,0.9375,3.67126066021791
0.3,1,3.07269140092711
0.3,1.0625,2.39764626797861
0.3,1.125,1.66288617696598
0.3,1.1875,0.886614452190237
0.3,1.25,0.0880349196998525
0.3,1.3125,-0.713116225910052
0.3,1.375,-1.49705270250657
0.3,1.4375,-2.24442267258327
0.3,1.5,-2.93678304458897
0.3,1.5625,-3.55705203330019
0.3,1.625,-4.0899283835154
0.3,1.6875,-4.52226720490406
0.3,1.75,-4.84340276941961
0.3,1.8125,-5.04541049505396
0.3,1.875,-5.12330167558387
0.3,1.9375,-5.07514568123293
0.3,2,-4.90211738955378
0.3,2.0625,-4.60846784119115
0.3,2.125,-4.20141934395007
0.3,2.1875,-3.69098761323416
0.3,2.25,-3.08973471507319
0.3,2.3125,-2.4124598992833
0.3,2.375,-1.67583492044964
0.3,2.4375,-0.897993487101676
0.3,2.5,-0.0980846728597617
0.6,0,-51.2554
0.6,0.0625,-26.0186044080193
0.6,0.125,-0.781779153164959
0.6,0.1875,2.41005483297606
0.6,0.25,3.38175367497014
0.6,0.3125,4.01775577765865
0.6,0.375,4.50410999537776
0.6,0.4375,4.85877036679113
0.6,0.5,5.08156973899994
0.6,0.5625,5.17111909674678
0.6,0.625,5.12762520487783
0.6,0.6875,4.95370630973271
0.6,0.75,4.65468961305181
0.6,0.8125,4.23866996945519
0.6,0.875,3.71641923799968
0.6,0.9375,3.10118683257031
0.6,1,2.40841513205542
0.6,1.0625,1.65538671350046
0.6,1.125,0.860817300752258
0.6,1.1875,0.0444079693575508
0.6,1.25,-0.773630826762403
0.6,1.3125,-1.57307011311453
0.6,1.375,-2.3341556891329
0.6,1.4375,-3.03809071631183
0.6,1.5,-3.66749593192975
0.6,1.5625,-4.20683530463251
0.6,1.625,-4.64279702858934
0.6,1.6875,-4.96462004062727
0.6,1.75,-5.16435788863481
0.6,1.8125,-5.23707378189714
0.6,1.875,-5.18096136602738
0.6,1.9375,-4.99738878141062
0.6,2,-4.69086459232028
0.6,2.0625,-4.26892640261764
0.6,2.125,-3.74195502251284
0.6,2.1875,-3.12291863248393
0.6,2.25,-2.42705330231534
0.6,2.3125,-1.67148768174354
0.6,2.375,-0.874821146259406
0.6,2.4375,-0.0566655729585167
0.6,2.5,0.762837319613267
0.9,0,-47.9868
0.9,0.0625,-23.8408362667901
0.9,0.125,0.305154385207785
0.9,0.1875,3.27349086183514
0.9,0.25,4.10602413749266
0.9,0.3125,4.60542209867334
0.9,0.375,4.94742276016071
0.9,0.4375,5.14995745395172
0.9,0.5,5.21526215637784
0.9,0.5625,5.14519412460159
0.9,0.625,4.94354383692878
0.9,0.6875,4.61661202204556
0.9,0.75,4.17335301200601
0.9,0.8125,3.62531490674912
0.9,0.875,2.98644778978424
0.9,0.9375,2.27281756999577
0.9,1,1.50224680711417
0.9,1.0625,0.693899602395894
0.9,1.125,-0.132173347329836
0.9,1.1875,-0.955517720636253
0.9,1.25,-1.75577041163506
0.9,1.3125,-2.51315571426933
0.9,1.375,-3.20896731093615
0.9,1.4375,-3.82602620277896
0.9,1.5,-4.34910093543394
0.9,1.5625,-4.76528109137949
0.9,1.625,-5.06429354855705
0.9,1.6875,-5.2387545273919
0.9,1.75,-5.28435056218712
0.9,1.8125,-5.19994391037511
0.9,1.875,-4.98760027511931
0.9,1.9375,-4.65253732228104
0.9,2,-4.20299609280192
0.9,2.0625,-3.65003758669319
0.9,2.125,-3.00727042605507
0.9,2.1875,-2.2905154475039
0.9,2.25,-1.51741603181354
0.9,2.3125,-0.707003809450055
0.9,2.375,0.120770775300294
0.9,2.4375,0.945528793566177
0.9,2.5,1.7469654344223
1.2,0,-44.0942
1.2,0.0625,-21.5793410843305
1.2,0.125,0.935540115973119
1.2,0.1875,3.73600317765656
1.2,0.25,4.50114397734454
1.2,0.3125,4.92431468694336
1.2,0.375,5.17729602042635
1.2,0.4375,5.28166942711569
1.2,0.5,5.24336199118564
1.2,0.5625,5.06759643786845
1.2,0.625,4.76127077473039
1.2,0.6875,4.33357443092372
1.2,0.75,3.79613430572755
1.2,0.8125,3.16293478322979
1.2,0.875,2.45009615217709
1.2,0.9375,1.67555114613381
1.2,1,0.858651718841048
1.2,1.0625,0.0197218934975223
1.2,1.125,-0.82042162764249
1.2,1.1875,-1.64096846882248
1.2,1.25,-2.42161734672748
1.2,1.3125,-3.14306961089925
1.2,1.375,-3.78749902855673
1.2,1.4375,-4.33898771642056
1.2,1.5,-4.78391510141885
1.2,1.5625,-5.11129169438383
1.2,1.625,-5.31302787274341
1.2,1.6875,-5.38413233890595
1.2,1.75,-5.32283399865555
1.2,1.8125,-5.13062460456695
1.2,1.875,-4.81222197229632
1.2,1.9375,-4.37545323800964
1.2,2,-3.83106167199493
1.2,2.0625,-3.19244182693038
1.2,2.125,-2.475310054591
1.2,2.1875,-1.69731624428385
1.2,2.25,-0.87761059026916
1.2,2.3125,-0.0363703735915417
1.2,2.375,0.805695828742603
1.2,2.4375,1.62785872119467
1.2,2.5,2.40987838863967
1.5,0,-40.1401
1.5,0.0625,-19.2266711229285
1.5,0.125,1.68680277246563
